p1,p2,p3,p4
"(np.float64(0.4916813763225285), np.float64(0.0))","(np.float64(2.3191508392663547), np.float64(0.0))","(np.float64(2.2726995606714127), np.float64(1.1840341396879936))","(np.float64(2.2726995606714127), np.float64(1.1840341396879936))"
"(np.float64(0.09536871870457442), np.float64(1.1840341396879936))","(np.float64(2.2726995606714127), np.float64(1.1840341396879936))","(np.float64(1.2970858587544412), np.float64(1.995048777613322))","(np.float64(1.2970858587544412), np.float64(1.995048777613322))"
"(np.float64(-1.2970858587544407), np.float64(1.995048777613322))","(np.float64(1.2970858587544412), np.float64(1.995048777613322))","(np.float64(-0.13538000925056903), np.float64(1.6807875261541212))","(np.float64(-0.13538000925056903), np.float64(1.6807875261541212))"
"(np.float64(-3.2261950430576727), np.float64(1.6807875261541212))","(np.float64(-0.13538000925056903), np.float64(1.6807875261541212))","(np.float64(-0.9907884649721845), np.float64(3.4682704977519327e-16))","(np.float64(-0.9907884649721845), np.float64(3.4682704977519327e-16))"
"(np.float64(-4.673327099069101), np.float64(3.4682704977519327e-16))","(np.float64(-0.9907884649721845), np.float64(3.4682704977519327e-16))","(np.float64(-0.19217776178222845), np.float64(-2.38595038215682))","(np.float64(-0.19217776178222845), np.float64(-2.38595038215682))"
"(np.float64(-4.579723002531413), np.float64(-2.38595038215682))","(np.float64(-0.19217776178222845), np.float64(-2.38595038215682))","(np.float64(2.613761205568681), np.float64(-4.020228162189935))","(np.float64(2.613761205568681), np.float64(-4.020228162189935))"
"(np.float64(-2.6137612055686827), np.float64(-4.020228162189935))","(np.float64(2.613761205568681), np.float64(-4.020228162189935))","(np.float64(6.501114315778328), np.float64(-3.386959468422588))","(np.float64(6.501114315778328), np.float64(-3.386959468422588))"
"(np.float64(0.272804621066844), np.float64(-3.386959468422588))","(np.float64(6.501114315778328), np.float64(-3.386959468422588))","(np.float64(9.417234017345127), np.float64(-1.397784243233905e-15))","(np.float64(9.417234017345127), np.float64(-1.397784243233905e-15))"
"(np.float64(1.996540502843851), np.float64(-1.397784243233905e-15))","(np.float64(9.417234017345127), np.float64(-1.397784243233905e-15))","(np.float64(9.228612150441535), np.float64(4.807935037763677))","(np.float64(9.228612150441535), np.float64(4.807935037763677))"
"(np.float64(0.3872579250858239), np.float64(4.807935037763677))","(np.float64(9.228612150441535), np.float64(4.807935037763677))","(np.float64(5.266997241259114), np.float64(8.101172591579417))","(np.float64(5.266997241259114), np.float64(8.101172591579417))"
"(np.float64(-5.266997241259109), np.float64(8.101172591579417))","(np.float64(5.266997241259114), np.float64(8.101172591579417))","(np.float64(-0.5497293262676433), np.float64(6.825071142088865))","(np.float64(-0.5497293262676433), np.float64(6.825071142088865))"
"(np.float64(-13.100412957910054), np.float64(6.825071142088865))","(np.float64(-0.5497293262676433), np.float64(6.825071142088865))","(np.float64(-4.023234141717511), np.float64(4.225018186801023e-15))","(np.float64(-4.023234141717511), np.float64(4.225018186801023e-15))"
"(np.float64(-18.976693618366163), np.float64(4.225018186801023e-15))","(np.float64(-4.023234141717511), np.float64(4.225018186801023e-15))","(np.float64(-0.7803644872902513), np.float64(-9.688482836956283))","(np.float64(-0.7803644872902513), np.float64(-9.688482836956283))"
"(np.float64(-18.596601186622294), np.float64(-9.688482836956283))","(np.float64(-0.7803644872902513), np.float64(-9.688482836956283))","(np.float64(10.61354031895784), np.float64(-16.324694696633223))","(np.float64(10.61354031895784), np.float64(-16.324694696633223))"
"(np.float64(-10.613540318957854), np.float64(-16.324694696633223))","(np.float64(10.61354031895784), np.float64(-16.324694696633223))","(np.float64(26.398677416154747), np.float64(-13.753219230659603))","(np.float64(26.398677416154747), np.float64(-13.753219230659603))"
"(np.float64(1.107761045164386), np.float64(-13.753219230659603))","(np.float64(26.398677416154747), np.float64(-13.753219230659603))","(np.float64(38.239986393251094), np.float64(-1.1351794028589741e-14))","(np.float64(38.239986393251094), np.float64(-1.1351794028589741e-14))"
